日期,城市,温度,湿度,aqi
2020-01-01,NewYork,-0.782608695652174,55.21739130434782,-0.9999999999999996
2020-01-01,LosAngeles,13.636363636363637,71.86363636363636,-0.9999999999999997
2020-01-01,Chicago,-2.0,63.54545454545454,-0.9999999999999997
2020-01-01,Houston,9.818181818181817,70.18181818181817,-0.9999999999999997
2020-01-01,Philadelphia,2.4090909090909087,53.31818181818181,-0.9999999999999997
2020-01-01,Phoenix,8.82608695652174,70.73913043478262,-0.9999999999999996
2020-01-01,Detroit,-0.826086956521739,68.34782608695653,-0.9999999999999996
2020-01-01,Indianapolis,2.0,65.63636363636364,-0.9999999999999997
2020-01-01,Columbus,1.4545454545454541,66.36363636363636,-0.9999999999999997
2020-01-01,Austin,10.727272727272725,62.90909090909092,-0.9999999999999997
2020-01-01,Memphis,7.086956521739131,55.13043478260869,-0.9999999999999996
2020-01-02,NewYork,-0.2608695652173916,70.91304347826087,-0.9999999999999996
2020-01-02,LosAngeles,13.434782608695656,86.39130434782608,-0.9999999999999996
2020-01-02,Chicago,-0.4545454545454544,70.00000000000001,-0.9999999999999997
2020-01-02,Houston,13.33333333333333,94.28571428571428,-1.0000000000000004
2020-01-02,Philadelphia,3.6190476190476186,71.42857142857142,-1.0000000000000004
2020-01-02,Phoenix,8.954545454545453,75.77272727272728,-0.9999999999999997
2020-01-02,Detroit,3.8571428571428568,64.85714285714286,-1.0000000000000004
2020-01-02,Indianapolis,5.999999999999998,65.95652173913044,-0.9999999999999996
2020-01-02,Columbus,4.739130434782607,67.30434782608695,-0.9999999999999996
2020-01-02,Austin,12.818181818181815,83.86363636363639,-0.9999999999999997
2020-01-02,Memphis,10.869565217391308,88.78260869565216,-0.9999999999999996
2020-01-03,NewYork,1.818181818181818,88.63636363636363,-0.9999999999999997
2020-01-03,LosAngeles,14.136363636363638,70.09090909090908,-0.9999999999999997
2020-01-03,Chicago,-0.7272727272727273,80.13636363636363,-0.9999999999999997
2020-01-03,Houston,12.428571428571427,76.66666666666667,-1.0000000000000004
2020-01-03,Philadelphia,7.59090909090909,91.5909090909091,-0.9999999999999997
2020-01-03,Phoenix,9.227272727272725,63.45454545454546,-0.9999999999999997
2020-01-03,Detroit,4.045454545454543,84.27272727272727,-0.9999999999999997
2020-01-03,Indianapolis,7.363636363636363,94.27272727272731,-0.9999999999999997
2020-01-03,Columbus,8.350000000000001,95.80000000000001,-1.0000000000000002
2020-01-03,Austin,11.545454545454547,58.818181818181806,-0.9999999999999997
2020-01-03,Memphis,13.181818181818183,93.04545454545453,-0.9999999999999997
2020-01-04,NewYork,3.1904761904761907,96.2857142857143,-1.0000000000000004
2020-01-04,LosAngeles,13.090909090909092,79.77272727272728,-0.9999999999999997
2020-01-04,Chicago,-2.8095238095238098,67.04761904761905,-1.0000000000000004
2020-01-04,Houston,10.40909090909091,58.5,-0.9999999999999997
2020-01-04,Philadelphia,9.636363636363633,95.5909090909091,-0.9999999999999997
2020-01-04,Phoenix,10.681818181818182,68.18181818181819,-0.9999999999999997
2020-01-04,Detroit,0.5454545454545455,74.9090909090909,-0.9999999999999997
2020-01-04,Indianapolis,1.454545454545454,75.95454545454545,-0.9999999999999997
2020-01-04,Columbus,3.809523809523809,84.7142857142857,-1.0000000000000004
2020-01-04,Austin,12.18181818181818,43.863636363636374,-0.9999999999999997
