����,����,�¶�,ʪ��,aqi
2020-01-01,Paris,2.5909090909090904,88.36363636363636,-0.9999999999999997
2020-01-01,Lyon,1.0434782608695652,96.08695652173911,-0.9999999999999996
2020-01-01,Toulouse,6.3478260869565215,83.34782608695652,-0.9999999999999996
2020-01-01,Nice,10.272727272727273,78.77272727272727,-0.9999999999999997
2020-01-01,Strasbourg,0.45454545454545453,75.31818181818181,-0.9999999999999997
2020-01-01,Montpellier,7.05,75.34999999999998,-1.0000000000000002
2020-01-01,Bordeaux,9.045454545454545,85.81818181818186,-0.9999999999999997
2020-01-01,Rennes,8.59090909090909,94.50000000000001,-0.9999999999999997
2020-01-01,Reims,0.6818181818181817,86.09090909090912,-0.9999999999999997
2020-01-01,Brest,9.27272727272727,88.59090909090908,-0.9999999999999997
2020-01-01,Lemans,6.227272727272727,97.09090909090907,-0.9999999999999997
2020-01-01,Dijon,1.0454545454545452,84.27272727272728,-0.9999999999999997
2020-01-02,Paris,6.782608695652172,92.56521739130433,-0.9999999999999996
2020-01-02,Lyon,3.130434782608696,87.39130434782608,-0.9999999999999996
2020-01-02,Toulouse,6.391304347826088,77.39130434782612,-0.9999999999999996
2020-01-02,Nice,10.260869565217392,76.78260869565217,-0.9999999999999996
2020-01-02,Strasbourg,1.7391304347826082,82.4782608695652,-0.9999999999999996
2020-01-02,Montpellier,7.391304347826087,77.4782608695652,-0.9999999999999996
2020-01-02,Bordeaux,7.565217391304348,82.30434782608695,-0.9999999999999996
2020-01-02,Rennes,8.956521739130437,89.1304347826087,-0.9999999999999996
2020-01-02,Reims,4.3478260869565215,95.47826086956522,-0.9999999999999996
2020-01-02,Brest,9.565217391304348,87.43478260869564,-0.9999999999999996
2020-01-02,Lemans,8.173913043478262,91.34782608695653,-0.9999999999999996
2020-01-02,Dijon,1.9565217391304341,87.52173913043478,-0.9999999999999996
2020-01-03,Paris,8.454545454545453,86.36363636363636,-0.9999999999999997
2020-01-03,Lyon,4.863636363636364,85.27272727272727,-0.9999999999999997
2020-01-03,Toulouse,6.666666666666667,77.80952380952382,-1.0000000000000004
2020-01-03,Nice,10.363636363636362,68.5,-0.9999999999999997
2020-01-03,Strasbourg,4.818181818181819,88.81818181818181,-0.9999999999999997
2020-01-03,Montpellier,9.318181818181818,80.31818181818181,-0.9999999999999997
2020-01-03,Bordeaux,8.190476190476192,89.52380952380952,-1.0000000000000004
2020-01-03,Rennes,9.761904761904765,88.61904761904762,-1.0000000000000004
2020-01-03,Reims,7.409090909090909,91.50000000000003,-0.9999999999999997
2020-01-03,Brest,9.130434782608697,82.60869565217392,-0.9999999999999996
2020-01-03,Lemans,9.181818181818182,91.2727272727273,-0.9999999999999997
2020-01-03,Dijon,4.272727272727272,90.13636363636364,-0.9999999999999997
2020-01-04,Paris,5.142857142857142,80.52380952380952,-1.0000000000000004
2020-01-04,Lyon,4.863636363636364,85.36363636363635,-0.9999999999999997
2020-01-04,Toulouse,7.590909090909091,88.04545454545455,-0.9999999999999997
2020-01-04,Nice,10.81818181818182,62.0,-0.9999999999999997
2020-01-04,Strasbourg,4.727272727272725,88.81818181818181,-0.9999999999999997
2020-01-04,Montpellier,10.27272727272727,68.81818181818181,-0.9999999999999997
2020-01-04,Bordeaux,7.090909090909092,87.9090909090909,-0.9999999999999997
2020-01-04,Rennes,5.7727272727272725,83.40909090909092,-0.9999999999999997
2020-01-04,Reims,4.545454545454545,88.00000000000001,-0.9999999999999997
2020-01-04,Brest,6.954545454545454,72.45454545454545,-0.9999999999999997
2020-01-04,Lemans,4.772727272727273,85.1818181818182,-0.9999999999999997
2020-01-04,Dijon,4.7272727272727275,87.95454545454548,-0.9999999999999997
2020-01-05,Paris,4.260869565217391,77.65217391304347,-0.9999999999999996
2020-01-05,Lyon,2.4347826086956528,85.52173913043478,-0.9999999999999996
2020-01-05,Toulouse,3.9090909090909083,77.49999999999999,-0.9999999999999997
2020-01-05,Nice,11.260869565217392,65.17391304347827,-0.9999999999999996
2020-01-05,Strasbourg,3.043478260869566,87.47826086956522,-0.9999999999999996
2020-01-05,Montpellier,7.8181818181818175,64.9090909090909,-0.9999999999999997
2020-01-05,Bordeaux,4.363636363636365,82.36363636363637,-0.9999999999999997
2020-01-05,Rennes,4.565217391304347,83.13043478260869,-0.9999999999999996
2020-01-05,Reims,3.130434782608696,87.47826086956519,-0.9999999999999996
2020-01-05,Brest,6.086956521739132,79.17391304347825,-0.9999999999999996
2020-01-05,Lemans,5.0434782608695645,80.43478260869564,-0.9999999999999996
2020-01-05,Dijon,2.739130434782609,85.52173913043478,-0.9999999999999996
2020-01-06,Paris,2.9565217391304355,81.91304347826089,-0.9999999999999996
2020-01-06,Lyon,3.4999999999999996,86.09090909090911,-0.9999999999999997
2020-01-06,Toulouse,5.782608695652175,74.04347826086956,-0.9999999999999996
2020-01-06,Nice,10.04545454545454,69.72727272727272,-0.9999999999999997
2020-01-06,Strasbourg,1.9999999999999998,78.43478260869564,-0.9999999999999996
2020-01-06,Montpellier,8.695652173913047,75.30434782608695,-0.9999999999999996
2020-01-06,Bordeaux,4.545454545454547,82.0909090909091,-0.9999999999999997
2020-01-06,Rennes,5.090909090909091,90.86363636363636,-0.9999999999999997
2020-01-06,Reims,2.045454545454545,89.0909090909091,-0.9999999999999997
2020-01-06,Brest,8.260869565217392,87.47826086956522,-0.9999999999999996
2020-01-06,Lemans,4.136363636363637,89.18181818181819,-0.9999999999999997
2020-01-06,Dijon,1.9090909090909087,86.8181818181818,-0.9999999999999997
2020-01-07,Paris,7.08695652173913,92.08695652173914,-0.9999999999999996
2020-01-07,Lyon,3.4782608695652177,87.6086956521739,-0.9999999999999996
2020-01-07,Toulouse,6.5652173913043494,81.69565217391303,-0.9999999999999996
2020-01-07,Nice,9.782608695652176,69.08695652173913,-0.9999999999999996
2020-01-07,Strasbourg,3.499999999999999,88.09090909090908,-0.9999999999999997
2020-01-07,Montpellier,9.695652173913045,73.78260869565217,-0.9999999999999996
2020-01-07,Bordeaux,9.21739130434783,91.56521739130432,-0.9999999999999996
2020-01-07,Rennes,9.217391304347824,95.95652173913044,-0.9999999999999996
2020-01-07,Reims,5.608695652173914,93.73913043478264,-0.9999999999999996
2020-01-07,Brest,10.652173913043478,93.17391304347825,-0.9999999999999996
2020-01-07,Lemans,8.863636363636363,96.27272727272725,-0.9999999999999997
2020-01-07,Dijon,3.1304347826086953,90.99999999999997,-0.9999999999999996
2020-01-08,Paris,10.238095238095237,94.09523809523812,-1.0000000000000004
